,Title,Release Year,Genre,Stream Platforms,Links,Duration,Age Rating,Production Country,IMDB,Category
0, Aavesham ,2024,"Action & Adventure, Comedy",Amazon Prime Video,https://www.justwatch.com/in/movie/aavesham-2024,2h 38min,,India,8.0,mv
1, Laapataa Ladies ,2024,"Drama, Comedy",Netflix,https://www.justwatch.com/in/movie/laapataa-ladies,2h 2min,UA,India,8.5,mv
2, Godzilla Minus One ,2023,"Science-Fiction, Horror, Action & Adventure, Drama",Netflix,https://www.justwatch.com/in/movie/godzilla-minus-one,2h 5min,,Japan,7.8,mv
3, Manjummel Boys ,2024,"Mystery & Thriller, History, Action & Adventure, Drama",Hotstar,https://www.justwatch.com/in/movie/manjummel-boys,2h 15min,UA,India,8.3,mv
4, Madgaon Express ,2024,"Comedy, Drama",Amazon Prime Video,https://www.justwatch.com/in/movie/madgaon-express,2h 23min,UA,India,7.1,mv
5, Maidaan ,2024,"Drama, History, Sport",Amazon Prime Video,https://www.justwatch.com/in/movie/maidaan,3h 1min,,India,8.1,mv
6, Munjya ,2024,"Comedy, Horror",Bookmyshow,https://www.justwatch.com/in/movie/munjha,2h 20min,,India,7.7,mv
7, Dune: Part Two ,2024,"Action & Adventure, Science-Fiction, Drama",Apple TV,https://www.justwatch.com/in/movie/dune-part-two,2h 47min,,United States,8.6,mv
8, Premalu ,2024,"Romance, Comedy",Hotstar,https://www.justwatch.com/in/movie/premalu,2h 36min,U,India,7.9,mv
9, Swatantrya Veer Savarkar ,2024,"Drama, History",Zee5,https://www.justwatch.com/in/movie/swatantra-veer-savarkar,2h 56min,,India,7.7,mv
10, Oppenheimer ,2023,"History, Drama",Apple TV,https://www.justwatch.com/in/movie/oppenheimer,3h 0min,UA,"United Kingdom, United States",8.3,mv
11, Challengers ,2024,"Drama, Romance, Sport",Apple TV,https://www.justwatch.com/in/movie/challengers,2h 12min,A,"Italy, United States",7.3,mv
12, Hanu-Man ,2024,"Comedy, Science-Fiction, Fantasy, Action & Adventure",Hotstar,https://www.justwatch.com/in/movie/hanu-man,2h 39min,UA,India,7.9,mv
13, 12th Fail ,2023,Drama,Hotstar,https://www.justwatch.com/in/movie/12th-fail,2h 27min,,India,8.9,mv
14, The Goat Life ,2024,Drama,,https://www.justwatch.com/in/movie/aadujeevitham,2h 52min,UA,"India, United States",8.6,mv
15, Furiosa: A Mad Max Saga ,2024,"Mystery & Thriller, Action & Adventure, Science-Fiction",Bookmyshow,https://www.justwatch.com/in/movie/furiosa,2h 28min,,"United States, Australia",7.8,mv
16, Kingdom of the Planet of the Apes ,2024,"Science-Fiction, Action & Adventure",Bookmyshow,https://www.justwatch.com/in/movie/kingdom-of-the-planet-of-the-apes,2h 25min,,United States,7.2,mv
17, Article 370 ,2024,"Action & Adventure, Drama, Mystery & Thriller",Netflix,https://www.justwatch.com/in/movie/article-370,2h 38min,,India,7.9,mv
18, Siddharth Roy ,2024,"Romance, Drama",aha,https://www.justwatch.com/in/movie/siddharth-roy,2h 28min,A,India,7.8,mv
19, Civil War ,2024,"Action & Adventure, Mystery & Thriller, War & Military, Drama",,https://www.justwatch.com/in/movie/civil-war-2024-0,1h 49min,,"United States, United Kingdom",7.2,mv
20, Blink ,2024,"Mystery & Thriller, Science-Fiction",,https://www.justwatch.com/in/movie/blink-2024,2h 16min,UA,India,7.9,mv
21, 777 Charlie ,2022,"Action & Adventure, Comedy, Drama",Amazon Prime Video,https://www.justwatch.com/in/movie/777-charlie,2h 46min,UA,India,8.7,mv
22, Bramayugam ,2024,"Drama, Horror, Mystery & Thriller",Sony Liv,https://www.justwatch.com/in/movie/bramayugam,2h 19min,UA,India,7.9,mv
23, Sriranga Neethulu ,2024,Drama,Amazon Prime Video,https://www.justwatch.com/in/movie/sri-ranga-neethulu,2h 2min,,India,8.4,mv
24, Hridayam ,2022,"Romance, Drama",Hotstar,https://www.justwatch.com/in/movie/hridayam,2h 52min,U,India,8.1,mv
25, Sam Bahadur ,2023,"Drama, War & Military",Zee5,https://www.justwatch.com/in/movie/sam-bahadur,2h 30min,UA,India,7.7,mv
26, Anatomy of a Fall ,2023,"Mystery & Thriller, Crime, Drama",Amazon Prime Video,https://www.justwatch.com/in/movie/anatomie-dune-chute,2h 32min,,France,7.7,mv
27, Shōgun ,2024,"War & Military, Drama, History",Hotstar,https://www.justwatch.com/in/tv-show/shogun-2024,59min,,United States,8.7,tv
28, House of the Dragon ,2022,"Drama, Fantasy, Romance, Action & Adventure, Science-Fiction",Jio Cinema,https://www.justwatch.com/in/tv-show/house-of-the-dragon,58min,A,United States,8.4,tv
29, Raising Voices ,2024,Drama,Netflix,https://www.justwatch.com/in/tv-show/raising-voices,46min,,Spain,7.2,tv
30, Fallout ,2024,"Drama, Science-Fiction, War & Military, Action & Adventure, Mystery & Thriller",Amazon Prime Video,https://www.justwatch.com/in/tv-show/fallout,59min,A,United States,8.4,tv
31, Murder in Mahim ,2024,Crime,Jio Cinema,https://www.justwatch.com/in/tv-show/murder-in-mahim,43min,,India,7.8,tv
32, 3 Body Problem ,2024,"Science-Fiction, Drama, Fantasy",Netflix,https://www.justwatch.com/in/tv-show/3-body-problem,56min,A,United States,7.5,tv
33, Maxton Hall: The World Between Us ,2024,"Drama, Romance",Amazon Prime Video,https://www.justwatch.com/in/tv-show/maxton-hall-the-world-between-us,45min,,Germany,7.6,tv
34, The 8 Show ,2024,"Drama, Mystery & Thriller, Comedy",Netflix,https://www.justwatch.com/in/tv-show/the-8-show,52min,,South Korea,7.2,tv
35, Dark Matter ,2024,"Science-Fiction, Mystery & Thriller, Drama",Apple TV Plus,https://www.justwatch.com/in/tv-show/dark-matter-2024,53min,A,United States,7.7,tv
36, Farzi ,2023,"Crime, Drama, Mystery & Thriller",Amazon Prime Video,https://www.justwatch.com/in/tv-show/farzi,56min,,India,8.4,tv
37, Jurassic World: Chaos Theory ,2024,"Animation, Action & Adventure, Kids & Family, Science-Fiction",Netflix,https://www.justwatch.com/in/tv-show/jurassic-world-chaos-theory,24min,,United States,7.6,tv
38, Reacher ,2022,"Action & Adventure, Crime, Drama, Mystery & Thriller",Amazon Prime Video,https://www.justwatch.com/in/tv-show/jack-reacher,48min,A,United States,8.1,tv
39, The Last of Us ,2023,"Drama, Science-Fiction, Mystery & Thriller, Action & Adventure, Horror",Jio Cinema,https://www.justwatch.com/in/tv-show/the-last-of-us,58min,A,United States,8.7,tv
40, Dehati Ladke ,2023,Drama,Amazon miniTV,https://www.justwatch.com/in/tv-show/dehati-ladke,24min,,India,7.2,tv
41, Jamnapaar ,2024,Drama,Amazon miniTV,https://www.justwatch.com/in/tv-show/jamnapaar,32min,,India,8.3,tv
42, Presumed Innocent ,2024,"Crime, Mystery & Thriller, Drama",Apple TV Plus,https://www.justwatch.com/in/tv-show/presumed-innocent,42min,A,United States,7.6,tv
43, Dead Boy Detectives ,2024,"Fantasy, Horror, Action & Adventure, Comedy, Crime, Drama, Mystery & Thriller, Science-Fiction",Netflix,https://www.justwatch.com/in/tv-show/dead-boy-detectives,54min,A,United States,7.5,tv
44, Kaiju No. 8 ,2024,"Fantasy, Horror, Science-Fiction, Animation, Action & Adventure",Crunchyroll,https://www.justwatch.com/in/tv-show/kaiju-no-8,24min,,Japan,8.4,tv
45, Interview with the Vampire ,2022,"Drama, Fantasy, Horror",Amazon Prime Video,https://www.justwatch.com/in/tv-show/interview-with-the-vampire,49min,,United States,7.2,tv
46, Solo Leveling ,2024,"Fantasy, Animation, Action & Adventure, Science-Fiction",Crunchyroll,https://www.justwatch.com/in/tv-show/solo-leveling-2024,24min,,"Japan, South Korea",8.3,tv
47, A Gentleman in Moscow ,2024,"Drama, History, Mystery & Thriller",Amazon Prime Video,https://www.justwatch.com/in/tv-show/a-gentleman-in-moscow,48min,,United Kingdom,7.3,tv
