,Title,Release Year,Genre,Stream Platforms,Links,Duration,Age Rating,Production Country,IMDB
0, Panchayat , (2020) ,"Comedy, Drama",Amazon Prime Video,https://www.justwatch.com/in/tv-show/panchayat,35min,,India, 9.0  (93k) 
1, Heeramandi: The Diamond Bazaar , (2024) ,"Drama, History, Romance, War & Military",Netflix,https://www.justwatch.com/in/tv-show/heeramandi,54min,,India, 6.4  (26k) 
2, Gullak , (2019) ,"Kids & Family, Comedy, Drama",Sony Liv,https://www.justwatch.com/in/tv-show/gullak,30min,,India, 9.1  (22k) 
3, Mirzapur , (2018) ,"Crime, Action & Adventure, Drama, Mystery & Thriller",Amazon Prime Video,https://www.justwatch.com/in/tv-show/mirzapur,50min,,India, 8.5  (82k) 
4, Bridgerton , (2020) ,"Drama, Romance",Netflix,https://www.justwatch.com/in/tv-show/bridgerton,1h 2min,A,United States, 7.4  (181k) 
5, Shōgun , (2024) ,"War & Military, Drama, History",Hotstar,https://www.justwatch.com/in/tv-show/shogun-2024,59min,,United States, 8.7  (142k) 
6, House of the Dragon , (2022) ,"Drama, Fantasy, Romance, Action & Adventure, Science-Fiction",Jio Cinema,https://www.justwatch.com/in/tv-show/house-of-the-dragon,58min,A,United States, 8.4  (388k) 
7, Game of Thrones , (2011) ,"Action & Adventure, Drama, Fantasy, Science-Fiction",Jio Cinema,https://www.justwatch.com/in/tv-show/game-of-thrones,58min,A,"United States, United Kingdom", 9.2  (2m) 
8, Raising Voices , (2024) ,Drama,Netflix,https://www.justwatch.com/in/tv-show/raising-voices,46min,,Spain, 7.2  (2k) 
9, The Boys , (2019) ,"Science-Fiction, Action & Adventure, Comedy, Crime, Drama",Amazon Prime Video,https://www.justwatch.com/in/tv-show/the-boys,1h 1min,A,United States, 8.7  (668k) 
10, Fallout , (2024) ,"Drama, Science-Fiction, War & Military, Action & Adventure, Mystery & Thriller",Amazon Prime Video,https://www.justwatch.com/in/tv-show/fallout,59min,A,United States, 8.4  (207k) 
